,mean_score,best_score,iteration
0,-11103.0,-18260,0
1,-12051.0,-18260,1
2,-12211.333333333334,-15960,2
3,-12160.333333333334,-15960,3
4,-12675.333333333334,-15680,4
5,-12858.666666666666,-15780,5
6,-12852.333333333334,-15780,6
7,-13067.0,-15680,7
8,-12977.0,-15680,8
9,-12812.0,-15680,9
10,-12914.0,-15680,10
11,-12788.0,-15680,11
12,-12518.333333333334,-16000,12
13,-12743.0,-16120,13
14,-13654.666666666666,-16120,14
15,-13533.333333333334,-16120,15
16,-14241.0,-16120,16
17,-14443.0,-16120,17
18,-14582.666666666666,-16360,18
19,-14540.0,-16940,19
20,-14474.0,-16940,20
21,-14266.0,-16920,21
22,-14425.0,-17140,22
23,-14472.666666666666,-17380,23
24,-14394.0,-17380,24
25,-14551.0,-17400,25
26,-14371.333333333334,-18500,26
27,-14464.0,-18500,27
28,-15104.0,-18500,28
29,-15266.666666666666,-18500,29
30,-15275.0,-18500,30
31,-15219.333333333334,-18500,31
32,-14947.333333333334,-18500,32
33,-15458.333333333334,-17360,33
34,-15419.0,-19580,34
35,-15565.0,-19580,35
36,-15574.333333333334,-19580,36
37,-15605.666666666666,-18880,37
38,-15706.333333333334,-18880,38
39,-15608.333333333334,-18880,39
40,-15787.666666666666,-20000,40
41,-15780.666666666666,-20000,41
42,-15852.333333333334,-20000,42
43,-16164.666666666666,-20140,43
44,-16188.666666666666,-20140,44
45,-16221.0,-20100,45
46,-16317.0,-20100,46
47,-16547.666666666668,-20100,47
48,-16557.666666666668,-20100,48
49,-16448.666666666668,-20100,49
50,-16680.666666666668,-20100,50
51,-16580.0,-20100,51
52,-16562.666666666668,-20100,52
53,-16482.333333333332,-20100,53
54,-16404.333333333332,-20100,54
55,-16830.0,-19980,55
56,-16752.333333333332,-19980,56
57,-16831.333333333332,-20120,57
58,-16827.0,-20120,58
59,-17107.0,-20640,59
60,-17879.333333333332,-20640,60
61,-18090.0,-21200,61
62,-18079.666666666668,-21200,62
63,-18230.666666666668,-21240,63
64,-18298.666666666668,-21240,64
65,-18093.333333333332,-21240,65
66,-18147.333333333332,-21240,66
67,-17500.333333333332,-21240,67
68,-18220.0,-21240,68
69,-18006.333333333332,-21240,69
70,-18485.0,-21240,70
71,-18641.333333333332,-21240,71
72,-18566.333333333332,-21240,72
73,-18751.666666666668,-21700,73
74,-19246.666666666668,-22040,74
75,-19172.0,-21700,75
76,-19031.666666666668,-21840,76
77,-19158.333333333332,-21700,77
78,-18690.333333333332,-21700,78
79,-18760.666666666668,-21700,79
80,-18933.0,-21400,80
81,-19125.0,-21400,81
82,-19117.333333333332,-21400,82
83,-19084.666666666668,-21920,83
84,-19273.666666666668,-22000,84
85,-19378.333333333332,-22000,85
86,-19175.333333333332,-22000,86
87,-19756.333333333332,-22680,87
88,-19718.0,-22680,88
89,-19872.666666666668,-21700,89
90,-19848.0,-21700,90
91,-19792.0,-21700,91
92,-19818.666666666668,-22200,92
93,-19750.333333333332,-22200,93
94,-19953.666666666668,-22200,94
95,-20189.0,-22200,95
96,-19979.333333333332,-22200,96
97,-19887.333333333332,-22200,97
98,-20272.0,-23700,98
99,-20002.666666666668,-23700,99
100,-20632.0,-23700,100
101,-20640.333333333332,-23700,101
102,-20510.666666666668,-23700,102
103,-20587.0,-23700,103
104,-20546.0,-23700,104
105,-20801.666666666668,-23700,105
106,-20749.0,-23700,106
107,-20948.666666666668,-23700,107
108,-21007.666666666668,-23700,108
109,-19933.666666666668,-22420,109
110,-19770.333333333332,-22200,110
111,-20243.666666666668,-23200,111
112,-20197.333333333332,-23200,112
113,-21101.333333333332,-23200,113
114,-21023.666666666668,-23200,114
115,-20920.333333333332,-23200,115
116,-20934.666666666668,-23020,116
117,-20854.333333333332,-23020,117
118,-20293.666666666668,-23020,118
119,-20756.666666666668,-23020,119
120,-20971.666666666668,-23020,120
121,-21398.666666666668,-23020,121
122,-21086.0,-22700,122
123,-21099.0,-22700,123
124,-21011.333333333332,-22700,124
125,-21150.333333333332,-22700,125
126,-20650.666666666668,-22800,126
127,-21119.666666666668,-22700,127
128,-21240.666666666668,-24100,128
129,-21231.0,-23580,129
130,-21324.666666666668,-23580,130
131,-21219.0,-23580,131
132,-21199.333333333332,-23720,132
133,-21266.333333333332,-23720,133
134,-21308.0,-23720,134
135,-21190.0,-24100,135
136,-20985.0,-24100,136
137,-20517.333333333332,-24100,137
138,-21009.666666666668,-24700,138
139,-21104.333333333332,-24700,139
140,-21143.333333333332,-24700,140
141,-21201.0,-24700,141
142,-21130.333333333332,-24700,142
143,-20959.666666666668,-24700,143
144,-20960.333333333332,-24700,144
145,-20981.333333333332,-24400,145
146,-21709.0,-24400,146
147,-21317.666666666668,-24100,147
148,-21217.333333333332,-24300,148
149,-21309.333333333332,-24300,149
150,-21724.0,-24300,150
151,-21558.666666666668,-24000,151
152,-21670.666666666668,-24000,152
153,-21722.0,-24900,153
154,-22023.333333333332,-24900,154
155,-21958.333333333332,-24900,155
156,-21986.666666666668,-24900,156
157,-21555.666666666668,-24900,157
158,-22249.333333333332,-24900,158
159,-22239.666666666668,-24900,159
160,-21602.666666666668,-24900,160
161,-20717.333333333332,-24900,161
162,-21572.666666666668,-24900,162
163,-21559.666666666668,-24900,163
164,-21903.666666666668,-24900,164
165,-22179.333333333332,-24900,165
166,-21774.666666666668,-24900,166
167,-22033.0,-25100,167
168,-22099.333333333332,-25100,168
169,-22154.666666666668,-25100,169
170,-22227.0,-24900,170
171,-22718.666666666668,-24900,171
172,-22965.666666666668,-24400,172
173,-23039.666666666668,-24900,173
174,-22551.0,-24500,174
175,-22553.666666666668,-24800,175
176,-22496.0,-24800,176
177,-22379.0,-24800,177
178,-22241.333333333332,-24800,178
179,-21451.666666666668,-24800,179
180,-21353.666666666668,-24800,180
181,-22392.0,-25300,181
182,-22975.666666666668,-25500,182
183,-22965.0,-25600,183
184,-22951.333333333332,-25600,184
185,-22818.0,-25600,185
186,-22444.0,-25300,186
187,-22952.0,-25300,187
188,-22915.666666666668,-25300,188
189,-22389.666666666668,-25300,189
190,-22391.333333333332,-25600,190
191,-22814.333333333332,-25600,191
192,-22765.666666666668,-25600,192
193,-22838.333333333332,-25600,193
194,-21431.333333333332,-25600,194
195,-22593.666666666668,-25600,195
196,-20513.333333333332,-25600,196
197,-20850.333333333332,-25600,197
198,-20538.333333333332,-25100,198
199,-22911.333333333332,-25100,199
