,mean_score,best_score,iteration
0,-11526.666666666666,-18640,0
1,-11586.0,-18640,1
2,-12384.333333333334,-18640,2
3,-12437.333333333334,-18640,3
4,-13927.0,-18640,4
5,-14773.666666666666,-20100,5
6,-14666.666666666666,-20100,6
7,-14712.666666666666,-20100,7
8,-15015.333333333334,-20100,8
9,-15127.333333333334,-20100,9
10,-15166.333333333334,-20100,10
11,-15323.666666666666,-20100,11
12,-15947.666666666666,-19400,12
13,-15976.333333333334,-19400,13
14,-15875.0,-19400,14
15,-15904.333333333334,-19400,15
16,-15825.0,-18300,16
17,-15997.666666666666,-18300,17
18,-16731.0,-19080,18
19,-16830.666666666668,-19080,19
20,-16861.0,-19540,20
21,-16907.0,-19540,21
22,-17177.333333333332,-19540,22
23,-17185.666666666668,-19540,23
24,-17081.666666666668,-19540,24
25,-17219.666666666668,-19540,25
26,-17408.666666666668,-19540,26
27,-17398.0,-19800,27
28,-17187.333333333332,-19800,28
29,-17234.333333333332,-19800,29
30,-17311.333333333332,-19800,30
31,-16931.666666666668,-19800,31
32,-17335.333333333332,-19800,32
33,-17323.333333333332,-22160,33
34,-17563.333333333332,-20480,34
35,-18346.333333333332,-22040,35
36,-18232.333333333332,-20480,36
37,-18210.666666666668,-20500,37
38,-18253.666666666668,-22700,38
39,-18399.0,-22700,39
40,-18408.666666666668,-22700,40
41,-18541.0,-22700,41
42,-18539.0,-22700,42
43,-18566.0,-22700,43
44,-18786.666666666668,-22700,44
45,-18679.0,-21020,45
46,-18853.333333333332,-22200,46
47,-19152.666666666668,-23200,47
48,-18814.666666666668,-23200,48
49,-18710.333333333332,-23200,49
50,-18466.666666666668,-23200,50
51,-18601.0,-23200,51
52,-19528.666666666668,-23200,52
53,-19551.666666666668,-23200,53
54,-19642.666666666668,-23200,54
55,-19462.666666666668,-23200,55
56,-19434.666666666668,-23200,56
57,-19730.0,-23200,57
58,-19983.333333333332,-23200,58
59,-20047.333333333332,-23200,59
60,-20016.666666666668,-23200,60
61,-19407.666666666668,-23200,61
62,-19396.333333333332,-23200,62
63,-19291.0,-22260,63
64,-20035.0,-22260,64
65,-20189.333333333332,-22260,65
66,-20211.0,-22120,66
67,-20081.333333333332,-22120,67
68,-20100.333333333332,-23080,68
69,-20123.0,-23080,69
70,-20357.666666666668,-22940,70
71,-20456.333333333332,-22940,71
72,-20105.666666666668,-22940,72
73,-19955.0,-22900,73
74,-19980.333333333332,-22980,74
75,-20067.333333333332,-24000,75
76,-20640.0,-24000,76
77,-20598.0,-24000,77
78,-20909.666666666668,-24000,78
79,-21012.333333333332,-24000,79
80,-20977.0,-24000,80
81,-21188.666666666668,-23240,81
82,-21224.333333333332,-23240,82
83,-21398.333333333332,-23420,83
84,-21390.0,-23420,84
85,-21391.0,-23420,85
86,-21465.666666666668,-23420,86
87,-21621.0,-23420,87
88,-21575.333333333332,-23240,88
89,-21435.333333333332,-23320,89
90,-21521.333333333332,-23700,90
91,-21618.0,-23700,91
92,-21510.666666666668,-23700,92
93,-21495.0,-23700,93
94,-21460.666666666668,-23700,94
95,-21347.333333333332,-24100,95
96,-20806.666666666668,-23100,96
97,-21128.0,-23100,97
98,-21054.0,-23100,98
99,-21333.0,-23100,99
