,mean_score,best_score,iteration
0,-8274.0,-14340,0
1,-9756.666666666666,-15440,1
2,-10722.333333333334,-15440,2
3,-11561.0,-16020,3
4,-12371.0,-16520,4
5,-13049.666666666666,-16700,5
6,-13527.666666666666,-17080,6
7,-13947.0,-18260,7
8,-14621.333333333334,-18260,8
9,-14999.333333333334,-18260,9
10,-15566.333333333334,-19460,10
11,-16060.0,-18560,11
12,-16268.0,-18560,12
13,-16413.666666666668,-19200,13
14,-15943.333333333334,-19200,14
15,-16421.333333333332,-19200,15
16,-15690.0,-19200,16
17,-16707.333333333332,-19200,17
18,-16466.0,-19200,18
19,-16916.666666666668,-19200,19
20,-16454.666666666668,-19200,20
21,-15755.0,-19280,21
22,-16088.0,-19280,22
23,-14773.666666666666,-19880,23
24,-14195.666666666666,-19440,24
25,-14562.0,-19740,25
26,-14633.0,-19740,26
27,-16422.333333333332,-19740,27
28,-14979.0,-19740,28
29,-14216.333333333334,-19740,29
30,-12882.333333333334,-19740,30
31,-12582.333333333334,-19740,31
32,-13216.666666666666,-19740,32
33,-12059.333333333334,-19740,33
34,-11814.333333333334,-19740,34
35,-12386.0,-19740,35
36,-14210.333333333334,-19740,36
37,-14183.666666666666,-19740,37
38,-14249.0,-20060,38
39,-14251.666666666666,-20060,39
40,-16920.0,-20060,40
41,-16419.333333333332,-20060,41
42,-15968.666666666666,-20060,42
43,-14160.0,-19840,43
44,-16039.0,-19840,44
45,-15167.333333333334,-19740,45
46,-13290.0,-19740,46
47,-12954.666666666666,-19740,47
48,-11469.0,-19740,48
49,-12670.666666666666,-19740,49
50,-14434.333333333334,-19740,50
51,-15302.333333333334,-19740,51
52,-17204.0,-19740,52
53,-16568.0,-19740,53
54,-15381.666666666666,-19740,54
55,-16237.333333333334,-19740,55
56,-15093.0,-19460,56
57,-17516.0,-19400,57
58,-17206.333333333332,-19600,58
59,-16302.0,-19500,59
60,-14217.666666666666,-20060,60
61,-14878.666666666666,-20060,61
62,-13988.0,-19500,62
63,-16431.666666666668,-20060,63
64,-15275.666666666666,-20060,64
65,-13791.0,-20360,65
66,-16630.333333333332,-20760,66
67,-16045.333333333334,-19660,67
68,-16107.0,-19660,68
69,-14524.666666666666,-19660,69
70,-14229.0,-19660,70
71,-12360.666666666666,-19960,71
72,-12011.666666666666,-19960,72
73,-12939.0,-19960,73
74,-16038.0,-19960,74
75,-12345.666666666666,-19960,75
76,-14207.333333333334,-20560,76
77,-15182.666666666666,-20560,77
78,-14239.333333333334,-20560,78
79,-11410.333333333334,-19860,79
80,-12998.333333333334,-19860,80
81,-13927.333333333334,-19860,81
82,-11095.333333333334,-20260,82
83,-10465.333333333334,-20260,83
84,-12619.666666666666,-20160,84
85,-13559.333333333334,-20560,85
86,-15142.0,-20560,86
87,-14559.666666666666,-20560,87
88,-16713.666666666668,-20560,88
89,-16763.333333333332,-20560,89
90,-18690.0,-20560,90
91,-18402.0,-20160,91
92,-17546.333333333332,-20160,92
93,-19114.666666666668,-20060,93
94,-16927.666666666668,-20060,94
95,-15990.666666666666,-20060,95
96,-14065.666666666666,-20060,96
97,-14054.666666666666,-19760,97
98,-15654.0,-20360,98
99,-15340.333333333334,-20360,99
